001|CHAPTER 1
002|Anne's House of Dreams by Lucy Maude Montgomery.
003|CHAPTER 1 IN THE GARROT OF GREEN GABLES
006|Through the other window was glimpsed a distant, white-capped blue sea, the beautiful St. Lawrence Gulf, on which floats like a jewel, Abigwhite, whose softer, sweeter Indian name has long been forsaken for the more prosaic one of Prince Edward Island.
007|Diana Wright, three years older than when we last saw her, had grown somewhat matronly in the intervening time.
008|But her eyes were as black and brilliant, her cheeks as rosy, and her dimples as enchanting as in the long-ago days when she and Anne Shirley had vowed eternal friendship in the garden at Orchard Slope.
009|In her arms she held a small, sleeping, black-curled creature, who for two happy years had been known to the world of Avonlea as Small Anchordelia.
011|But Diana and Anne smiled at each other. They knew how small Ann Cordelia had come by her name.
012|You always hated geometry," said Diana with a retrospective smile.
013|I should think you'd be real glad to be through with teaching anyhow.
014|Oh, I've always liked teaching, apart from geometry. These past three years in Summerside have been very pleasant ones. Mrs. Harmon Andrews told me when I came home that I wouldn't likely find married life as much better than teaching as I expected.
015|Evidently Mrs. Harmon is of Hamlet's opinion, that it may be better to bear the ills that we have than fly to others that we know not of.
016|Anne's laugh, as blithe and irresistible as of yore, with an added note of sweetness and maturity, rang through the garret.
018|But every joy must bring with it its little shadow of sorrow.
019|During the three summer-side years, Anne had been home often for vacations and weekends.
020|But after this, a biannual visit would be as much as could be hoped for.
021|You needn't let what Mrs. Harmon says worry you," said Diana with the calm assurance of the four-year's matron.
022|Married life has its ups and downs, of course. You mustn't expect that everything will always go smoothly. But I can assure you, Anne, that it's a happy life when you're married to the right man.
023|Anne smothered a smile. Diana's airs of vast experience always amused her a little.
024|I dare say I'll be putting them on too when I've been married four years," she thought. Surely my sense of humor will preserve me from it, though.
026|Yes, that was what I wanted to tell you when I phoned you to come down today. By the way, I can't realize that we really have telephones in Avonlea now. It sounds so preposterously up-to-date and modernish for this darling, leisurely old place.
027|We can thank the Avis for them," said Diana. We should never have got the line if they hadn't taken the matter up and carried it through.
029|I don't know that I'm wholly grateful to the avis in the matter of the telephone," said Anne. Oh, I know it's most convenient, even more so than our old device of signalling to each other by flashes of candlelight.
030|And as Mrs. Rachel says, Avonlea must keep up with the procession, that's what.
031|But somehow I feel as if I didn't want Avonlea spoiled by what Mr. Harrison, when he wants to be witty, calls modern inconveniences.
032|I should like to have it kept always just as it was in the dear old years. That's foolish and sentimental and impossible. So I shall immediately become wise and practical impossible.
033|The telephone, as Mr. Harrison concedes, is a buster of a good thing, even if you do know that probably half a dozen interested people are listening along the line.
035|Well, never mind the pies. As Mrs. Rachel says, pies they always were and pies they always will be. World without end. Amen.
036|I want to talk of pleasanter things. It's all settled as to where my new home shall be.
037|Oh, Anne, where? I do hope it's near here. No, that's the drawback. Gilbert is going to settle at Four Winds Harbor, sixty miles from here.
038|Sixty? It might as well be six hundred," sighed Diana. I never can get further from home now than Charlottetown.
040|I don't know yet what it is, or where it will be in reality, but I have a little house of dreams all furnished in my imagination—a tiny, delightful castle in Spain.
041|Where are you going for your wedding tour? Ask Diana.
043|I want to spend my honeymoon at Four Winds in my own dear house of dreams.
044|And you've decided not to have any bridesmaid? There isn't anyone to have. You and Phil and Priscilla and Jane all stole a march on me in the matter of marriage, and Stella is teaching in Vancouver. I have no other kindred soul, and I won't have a bridesmaid who isn't.
047|Your wedding dress is a dream anyhow," sighed Diana rapturously. You'll look like a perfect queen in it. You're so tall and slender. How do you keep so slim, Anne? I'm fatter than ever. I'll soon have no waist at all.
048|Stoutness and slimness seem to be matters of predestination," said Anne. At all events, Mrs. Harmon-Andrews can't say to you what she said to me when I came home from Summerside.
049|Well, Anne, you're just about as skinny as ever. It sounds quite romantic to be slender, but skinny has a very different tang.
050|Mrs. Harmon has been talking about your trousseau. She admits it's as nice as Jane's, although she says Jane married a millionaire and you're only marrying a poor young doctor without ascent to his name.
052|And that was the night Gilbert recited Bingin on the Rhine and looked at you when he said, There's another, not a sister. And you were so furious because he put your pink tissue rose in his breast pocket.
053|He didn't imagine then that you would ever marry him. Oh, well, that's another instance of predestination," laughed Anne as they went down the garret stairs.
054|End of chapter 1
055|Chapter 2 of Anne's House of Dreams by Lucy Maud Montgomery.
056|Chapter 2 The House of Dreams
057|There was more excitement in the era of Green Gables than there had ever been before in all its history. Even Marilla was so excited that she couldn't help showing it, which was little short of being phenomenal.
058|There's never been a wedding in this house," she said, half apologetically to Mrs. Rachel Lind.
059|When I was a child, I heard an old minister say that a house was not a real home until it had been consecrated by a birth, a wedding and a death.
060|We've had debts here, my father and mother died here as well as Matthew, and we've even had a birth here. Long ago, just after we moved into this house, we had a married hired man for a little while, and his wife had a baby here. But there's never been a wedding before.
061|It does seem so strange to think of Anne being married. In a way, she just seems to me the little girl Matthew brought home here 14 years ago. I can't realize that she's grown up.
062|I shall never forget what I felt when I saw Matthew bringing in a girl.
063|I wonder what became of the boy we would have got if there hadn't been a mistake. I wonder what his fate was.
064|Well, it was a fortunate mistake," said Mrs. Rachel Lynde. Though, mind you, there was a time I didn't think so. That evening I came up to see Anne and she treated us to such a scene. Many things have changed since then, that's what.
